Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Salary_Band,Experience_Group,Age_Group,Tenure_Category,Promotion_Category,Attrition_Flag
41,Yes,Travel_Rarely,1102,Sales,1,2,Life Sciences,2,Female,94,3,2,Sales Executive,4,Single,5993,19479,8,Yes,11,3,1,0,8,0,1,6,4,0,5,High,Mid Career (6-10),40-49,Mid-Level (6-10),Recent Promotion (0-1),1
49,No,Travel_Frequently,279,Research & Development,8,1,Life Sciences,3,Male,61,2,2,Research Scientist,2,Married,5130,24907,1,No,23,4,4,1,10,3,3,10,7,1,7,High,Mid Career (6-10),40-49,Mid-Level (6-10),Recent Promotion (0-1),0
37,Yes,Travel_Rarely,1373,Research & Development,2,2,Other,4,Male,92,2,1,Laboratory Technician,3,Single,2090,2396,6,Yes,15,3,2,0,7,3,3,0,0,0,0,Low,Mid Career (6-10),30-39,Newbie (0-2),Recent Promotion (0-1),1
33,No,Travel_Frequently,1392,Research & Development,3,4,Life Sciences,4,Female,56,3,1,Research Scientist,3,Married,2909,23159,1,Yes,11,3,3,0,8,3,3,8,7,3,0,Low,Mid Career (6-10),30-39,Mid-Level (6-10),Mid-tenure (2-5),0
27,No,Travel_Rarely,591,Research & Development,2,1,Medical,1,Male,40,3,1,Laboratory Technician,2,Married,3468,16632,9,No,12,3,4,1,6,3,3,2,2,2,2,Medium,Mid Career (6-10),Under 30,Newbie (0-2),Mid-tenure (2-5),0
32,No,Travel_Frequently,1005,Research & Development,2,2,Life Sciences,4,Male,79,3,1,Laboratory Technician,4,Single,3068,11864,0,No,13,3,3,0,8,2,2,7,7,3,6,Medium,Mid Career (6-10),30-39,Mid-Level (6-10),Mid-tenure (2-5),0
59,No,Travel_Rarely,1324,Research & Development,3,3,Medical,3,Female,81,4,1,Laboratory Technician,1,Married,2670,9964,4,Yes,20,4,1,3,12,3,2,1,0,0,0,Low,Experienced (11-20),50+,Newbie (0-2),Recent Promotion (0-1),0
30,No,Travel_Rarely,1358,Research & Development,24,1,Life Sciences,4,Male,67,3,1,Laboratory Technician,3,Divorced,2693,13335,1,No,22,4,2,1,1,2,3,1,0,0,0,Low,Early Career (0-5),30-39,Newbie (0-2),Recent Promotion (0-1),0
38,No,Travel_Frequently,216,Research & Development,23,3,Life Sciences,4,Male,44,2,3,Manufacturing Director,3,Single,9526,8787,0,No,21,4,2,0,10,2,3,9,7,1,8,Very High,Mid Career (6-10),30-39,Mid-Level (6-10),Recent Promotion (0-1),0
36,No,Travel_Rarely,1299,Research & Development,27,3,Medical,3,Male,94,3,2,Healthcare Representative,3,Married,5237,16577,6,No,13,3,2,2,17,3,2,7,7,7,7,High,Experienced (11-20),30-39,Mid-Level (6-10),Stagnant (6+),0
35,No,Travel_Rarely,809,Research & Development,16,3,Medical,1,Male,84,4,1,Laboratory Technician,2,Married,2426,16479,0,No,13,3,3,1,6,5,3,5,4,0,3,Low,Mid Career (6-10),30-39,Junior (3-5),Recent Promotion (0-1),0
29,No,Travel_Rarely,153,Research & Development,15,2,Life Sciences,4,Female,49,2,2,Laboratory Technician,3,Single,4193,12682,0,Yes,12,3,4,0,10,3,3,9,5,0,8,Medium,Mid Career (6-10),Under 30,Mid-Level (6-10),Recent Promotion (0-1),0
31,No,Travel_Rarely,670,Research & Development,26,1,Life Sciences,1,Male,31,3,1,Research Scientist,3,Divorced,2911,15170,1,No,17,3,4,1,5,1,2,5,2,4,3,Low,Early Career (0-5),30-39,Junior (3-5),Mid-tenure (2-5),0
34,No,Travel_Rarely,1346,Research & Development,19,2,Medical,2,Male,93,3,1,Laboratory Technician,4,Divorced,2661,8758,0,No,11,3,3,1,3,2,3,2,2,1,2,Low,Early Career (0-5),30-39,Newbie (0-2),Recent Promotion (0-1),0
28,Yes,Travel_Rarely,103,Research & Development,24,3,Life Sciences,3,Male,50,2,1,Laboratory Technician,3,Single,2028,12947,5,Yes,14,3,2,0,6,4,3,4,2,0,3,Low,Mid Career (6-10),Under 30,Junior (3-5),Recent Promotion (0-1),1
29,No,Travel_Rarely,1389,Research & Development,21,4,Life Sciences,2,Female,51,4,3,Manufacturing Director,1,Divorced,9980,10195,1,No,11,3,3,1,10,1,3,10,9,8,8,Very High,Mid Career (6-10),Under 30,Mid-Level (6-10),Stagnant (6+),0
32,No,Travel_Rarely,334,Research & Development,5,2,Life Sciences,1,Male,80,4,1,Research Scientist,2,Divorced,3298,15053,0,Yes,12,3,4,2,7,5,2,6,2,0,5,Medium,Mid Career (6-10),30-39,Mid-Level (6-10),Recent Promotion (0-1),0
22,No,Non-Travel,1123,Research & Development,16,2,Medical,4,Male,96,4,1,Laboratory Technician,4,Divorced,2935,7324,1,Yes,13,3,2,2,1,2,2,1,0,0,0,Medium,Early Career (0-5),Under 30,Newbie (0-2),Recent Promotion (0-1),0
53,No,Travel_Rarely,1219,Sales,2,4,Life Sciences,1,Female,78,2,4,Manager,4,Married,15427,22021,2,No,16,3,3,0,31,3,3,25,8,3,7,Very High,Veteran (20+),50+,Senior (10+),Mid-tenure (2-5),0
38,No,Travel_Rarely,371,Research & Development,2,3,Life Sciences,4,Male,45,3,1,Research Scientist,4,Single,3944,4306,5,Yes,11,3,3,0,6,3,3,3,2,1,2,Medium,Mid Career (6-10),30-39,Junior (3-5),Recent Promotion (0-1),0
24,No,Non-Travel,673,Research & Development,11,2,Other,1,Female,96,4,2,Manufacturing Director,3,Divorced,4011,8232,0,No,18,3,4,1,5,5,2,4,2,1,3,Medium,Early Career (0-5),Under 30,Junior (3-5),Recent Promotion (0-1),0
36,Yes,Travel_Rarely,1218,Sales,9,4,Life Sciences,3,Male,82,2,1,Sales Representative,1,Single,3407,6986,7,No,23,4,2,0,10,4,3,5,3,0,3,Medium,Mid Career (6-10),30-39,Junior (3-5),Recent Promotion (0-1),1
34,No,Travel_Rarely,419,Research & Development,7,4,Life Sciences,1,Female,53,3,3,Research Director,2,Single,11994,21293,0,No,11,3,3,0,13,4,3,12,6,2,11,Very High,Experienced (11-20),30-39,Senior (10+),Mid-tenure (2-5),0
21,No,Travel_Rarely,391,Research & Development,15,2,Life Sciences,3,Male,96,3,1,Research Scientist,4,Single,1232,19281,1,No,14,3,4,0,0,6,3,0,0,0,0,Low,Early Career (0-5),Under 30,Newbie (0-2),Recent Promotion (0-1),0
34,Yes,Travel_Rarely,699,Research & Development,6,1,Medical,2,Male,83,3,1,Research Scientist,1,Single,2960,17102,2,No,11,3,3,0,8,2,3,4,2,1,3,Medium,Mid Career (6-10),30-39,Junior (3-5),Recent Promotion (0-1),1
53,No,Travel_Rarely,1282,Research & Development,5,3,Other,3,Female,58,3,5,Manager,3,Divorced,19094,10735,4,No,11,3,4,1,26,3,2,14,13,4,8,Very High,Veteran (20+),50+,Senior (10+),Mid-tenure (2-5),0
32,Yes,Travel_Frequently,1125,Research & Development,16,1,Life Sciences,2,Female,72,1,1,Research Scientist,1,Single,3919,4681,1,Yes,22,4,2,0,10,5,3,10,2,6,7,Medium,Mid Career (6-10),30-39,Mid-Level (6-10),Stagnant (6+),1
42,No,Travel_Rarely,691,Sales,8,4,Marketing,3,Male,48,3,2,Sales Executive,2,Married,6825,21173,0,No,11,3,4,1,10,2,3,9,7,4,2,High,Mid Career (6-10),40-49,Mid-Level (6-10),Mid-tenure (2-5),0
44,No,Travel_Rarely,477,Research & Development,7,4,Medical,1,Female,42,2,3,Healthcare Representative,4,Married,10248,2094,3,No,14,3,4,1,24,4,3,22,6,5,17,Very High,Veteran (20+),40-49,Senior (10+),Mid-tenure (2-5),0
46,No,Travel_Rarely,705,Sales,2,4,Marketing,2,Female,83,3,5,Manager,1,Single,18947,22822,3,No,12,3,4,0,22,2,2,2,2,2,1,Very High,Veteran (20+),40-49,Newbie (0-2),Mid-tenure (2-5),0
33,No,Travel_Rarely,924,Research & Development,2,3,Medical,3,Male,78,3,1,Laboratory Technician,4,Single,2496,6670,4,No,11,3,4,0,7,3,3,1,1,0,0,Low,Mid Career (6-10),30-39,Newbie (0-2),Recent Promotion (0-1),0
44,No,Travel_Rarely,1459,Research & Development,10,4,Other,4,Male,41,3,2,Healthcare Representative,4,Married,6465,19121,2,Yes,13,3,4,0,9,5,4,4,2,1,3,High,Mid Career (6-10),40-49,Junior (3-5),Recent Promotion (0-1),0
30,No,Travel_Rarely,125,Research & Development,9,2,Medical,4,Male,83,2,1,Laboratory Technician,3,Single,2206,16117,1,No,13,3,1,0,10,5,3,10,0,1,8,Low,Mid Career (6-10),30-39,Mid-Level (6-10),Recent Promotion (0-1),0
39,Yes,Travel_Rarely,895,Sales,5,3,Technical Degree,4,Male,56,3,2,Sales Representative,4,Married,2086,3335,3,No,14,3,3,1,19,6,4,1,0,0,0,Low,Experienced (11-20),30-39,Newbie (0-2),Recent Promotion (0-1),1
24,Yes,Travel_Rarely,813,Research & Development,1,3,Medical,2,Male,61,3,1,Research Scientist,4,Married,2293,3020,2,Yes,16,3,1,1,6,2,2,2,0,2,0,Low,Mid Career (6-10),Under 30,Newbie (0-2),Mid-tenure (2-5),1
43,No,Travel_Rarely,1273,Research & Development,2,2,Medical,4,Female,72,4,1,Research Scientist,3,Divorced,2645,21923,1,No,12,3,4,2,6,3,2,5,3,1,4,Low,Mid Career (6-10),40-49,Junior (3-5),Recent Promotion (0-1),0
50,Yes,Travel_Rarely,869,Sales,3,2,Marketing,1,Male,86,2,1,Sales Representative,3,Married,2683,3810,1,Yes,14,3,3,0,3,2,3,3,2,0,2,Low,Early Career (0-5),50+,Junior (3-5),Recent Promotion (0-1),1
35,No,Travel_Rarely,890,Sales,2,3,Marketing,4,Female,97,3,1,Sales Representative,4,Married,2014,9687,1,No,13,3,1,0,2,3,3,2,2,2,2,Low,Early Career (0-5),30-39,Newbie (0-2),Mid-tenure (2-5),0
36,No,Travel_Rarely,852,Research & Development,5,4,Life Sciences,2,Female,82,2,1,Research Scientist,1,Married,3419,13072,9,Yes,14,3,4,1,6,3,4,1,1,0,0,Medium,Mid Career (6-10),30-39,Newbie (0-2),Recent Promotion (0-1),0
33,No,Travel_Frequently,1141,Sales,1,3,Life Sciences,3,Female,42,4,2,Sales Executive,1,Married,5376,3193,2,No,19,3,1,2,10,3,3,5,3,1,3,High,Mid Career (6-10),30-39,Junior (3-5),Recent Promotion (0-1),0
35,No,Travel_Rarely,464,Research & Development,4,2,Other,3,Male,75,3,1,Laboratory Technician,4,Divorced,1951,10910,1,No,12,3,3,1,1,3,3,1,0,0,0,Low,Early Career (0-5),30-39,Newbie (0-2),Recent Promotion (0-1),0
27,No,Travel_Rarely,1240,Research & Development,2,4,Life Sciences,4,Female,33,3,1,Laboratory Technician,1,Divorced,2341,19715,1,No,13,3,4,1,1,6,3,1,0,0,0,Low,Early Career (0-5),Under 30,Newbie (0-2),Recent Promotion (0-1),0
26,Yes,Travel_Rarely,1357,Research & Development,25,3,Life Sciences,1,Male,48,1,1,Laboratory Technician,3,Single,2293,10558,1,No,12,3,3,0,1,2,2,1,0,0,1,Low,Early Career (0-5),Under 30,Newbie (0-2),Recent Promotion (0-1),1
27,No,Travel_Frequently,994,Sales,8,3,Life Sciences,4,Male,37,3,3,Sales Executive,3,Single,8726,2975,1,No,15,3,4,0,9,0,3,9,8,1,7,Very High,Mid Career (6-10),Under 30,Mid-Level (6-10),Recent Promotion (0-1),0
30,No,Travel_Frequently,721,Research & Development,1,2,Medical,3,Female,58,3,2,Laboratory Technician,4,Single,4011,10781,1,No,23,4,4,0,12,2,3,12,8,3,7,Medium,Experienced (11-20),30-39,Senior (10+),Mid-tenure (2-5),0
41,Yes,Travel_Rarely,1360,Research & Development,12,3,Technical Degree,2,Female,49,3,5,Research Director,3,Married,19545,16280,1,No,12,3,4,0,23,0,3,22,15,15,8,Very High,Veteran (20+),40-49,Senior (10+),Stagnant (6+),1
34,No,Non-Travel,1065,Sales,23,4,Marketing,2,Male,72,3,2,Sales Executive,3,Single,4568,10034,0,No,20,4,3,0,10,2,3,9,5,8,7,Medium,Mid Career (6-10),30-39,Mid-Level (6-10),Stagnant (6+),0
37,No,Travel_Rarely,408,Research & Development,19,2,Life Sciences,2,Male,73,3,1,Research Scientist,2,Married,3022,10227,4,No,21,4,1,0,8,1,3,1,0,0,0,Medium,Mid Career (6-10),30-39,Newbie (0-2),Recent Promotion (0-1),0
46,No,Travel_Frequently,1211,Sales,5,4,Marketing,1,Male,98,3,2,Sales Executive,4,Single,5772,20445,4,Yes,21,4,3,0,14,4,3,9,6,0,8,High,Experienced (11-20),40-49,Mid-Level (6-10),Recent Promotion (0-1),0
35,No,Travel_Rarely,1229,Research & Development,8,1,Life Sciences,4,Male,36,4,1,Laboratory Technician,4,Married,2269,4892,1,No,19,3,4,0,1,2,3,1,0,0,1,Low,Early Career (0-5),30-39,Newbie (0-2),Recent Promotion (0-1),0
48,Yes,Travel_Rarely,626,Research & Development,1,2,Life Sciences,1,Male,98,2,3,Laboratory Technician,3,Single,5381,19294,9,Yes,13,3,4,0,23,2,3,1,0,0,0,High,Veteran (20+),40-49,Newbie (0-2),Recent Promotion (0-1),1
28,Yes,Travel_Rarely,1434,Research & Development,5,4,Technical Degree,3,Male,50,3,1,Laboratory Technician,3,Single,3441,11179,1,Yes,13,3,3,0,2,3,2,2,2,2,2,Medium,Early Career (0-5),Under 30,Newbie (0-2),Mid-tenure (2-5),1
44,No,Travel_Rarely,1488,Sales,1,5,Marketing,2,Female,75,3,2,Sales Executive,1,Divorced,5454,4009,5,Yes,21,4,3,1,9,2,2,4,3,1,3,High,Mid Career (6-10),40-49,Junior (3-5),Recent Promotion (0-1),0
35,No,Non-Travel,1097,Research & Development,11,2,Medical,3,Male,79,2,3,Healthcare Representative,1,Married,9884,8302,2,Yes,13,3,3,1,10,3,3,4,0,2,3,Very High,Mid Career (6-10),30-39,Junior (3-5),Mid-tenure (2-5),0
26,No,Travel_Rarely,1443,Sales,23,3,Marketing,3,Female,47,2,2,Sales Executive,4,Married,4157,21436,7,Yes,19,3,3,1,5,2,2,2,2,0,0,Medium,Early Career (0-5),Under 30,Newbie (0-2),Recent Promotion (0-1),0
33,No,Travel_Frequently,515,Research & Development,1,2,Life Sciences,1,Female,98,3,3,Research Director,4,Single,13458,15146,1,Yes,12,3,3,0,15,1,3,15,14,8,12,Very High,Experienced (11-20),30-39,Senior (10+),Stagnant (6+),0
35,No,Travel_Frequently,853,Sales,18,5,Life Sciences,2,Male,71,3,3,Sales Executive,1,Married,9069,11031,1,No,22,4,4,1,9,3,2,9,8,1,8,Very High,Mid Career (6-10),30-39,Mid-Level (6-10),Recent Promotion (0-1),0
35,No,Travel_Rarely,1142,Research & Development,23,4,Medical,3,Female,30,3,1,Laboratory Technician,1,Married,4014,16002,3,Yes,15,3,3,1,4,3,3,2,2,2,2,Medium,Early Career (0-5),30-39,Newbie (0-2),Mid-tenure (2-5),0
31,No,Travel_Rarely,655,Research & Development,7,4,Life Sciences,4,Male,48,3,2,Laboratory Technician,4,Divorced,5915,9528,3,No,22,4,4,1,10,3,2,7,7,1,7,High,Mid Career (6-10),30-39,Mid-Level (6-10),Recent Promotion (0-1),0
37,No,Travel_Rarely,1115,Research & Development,1,4,Life Sciences,1,Male,51,2,2,Manufacturing Director,3,Divorced,5993,2689,1,No,18,3,3,1,7,2,4,7,5,0,7,High,Mid Career (6-10),30-39,Mid-Level (6-10),Recent Promotion (0-1),0
32,No,Travel_Rarely,427,Research & Development,1,3,Medical,1,Male,33,3,2,Manufacturing Director,4,Married,6162,10877,1,Yes,22,4,2,1,9,3,3,9,8,7,8,High,Mid Career (6-10),30-39,Mid-Level (6-10),Stagnant (6+),0
38,No,Travel_Frequently,653,Research & Development,29,5,Life Sciences,4,Female,50,3,2,Laboratory Technician,4,Single,2406,5456,1,No,11,3,4,0,10,2,3,10,3,9,9,Low,Mid Career (6-10),30-39,Mid-Level (6-10),Stagnant (6+),0
50,No,Travel_Rarely,989,Research & Development,7,2,Medical,2,Female,43,2,5,Research Director,3,Divorced,18740,16701,5,Yes,12,3,4,1,29,2,2,27,3,13,8,Very High,Veteran (20+),50+,Senior (10+),Stagnant (6+),0
59,No,Travel_Rarely,1435,Sales,25,3,Life Sciences,1,Female,99,3,3,Sales Executive,1,Single,7637,2354,7,No,11,3,4,0,28,3,2,21,16,7,9,High,Veteran (20+),50+,Senior (10+),Stagnant (6+),0
36,No,Travel_Rarely,1223,Research & Development,8,3,Technical Degree,3,Female,59,3,3,Healthcare Representative,3,Divorced,10096,8202,1,No,13,3,2,3,17,2,3,17,14,12,8,Very High,Experienced (11-20),30-39,Senior (10+),Stagnant (6+),0
55,No,Travel_Rarely,836,Research & Development,8,3,Medical,4,Female,33,3,4,Manager,3,Divorced,14756,19730,2,Yes,14,3,3,3,21,2,3,5,0,0,2,Very High,Veteran (20+),50+,Junior (3-5),Recent Promotion (0-1),0
36,No,Travel_Frequently,1195,Research & Development,11,3,Life Sciences,2,Male,95,2,2,Manufacturing Director,2,Single,6499,22656,1,No,13,3,3,0,6,3,3,6,5,0,3,High,Mid Career (6-10),30-39,Mid-Level (6-10),Recent Promotion (0-1),0
45,No,Travel_Rarely,1339,Research & Development,7,3,Life Sciences,2,Male,59,3,3,Research Scientist,1,Divorced,9724,18787,2,No,17,3,3,1,25,2,3,1,0,0,0,Very High,Veteran (20+),40-49,Newbie (0-2),Recent Promotion (0-1),0
35,No,Travel_Frequently,664,Research & Development,1,3,Medical,2,Male,79,3,1,Research Scientist,1,Married,2194,5868,4,No,13,3,4,1,5,2,2,3,2,1,2,Low,Early Career (0-5),30-39,Junior (3-5),Recent Promotion (0-1),0
36,Yes,Travel_Rarely,318,Research & Development,9,3,Medical,4,Male,79,2,1,Research Scientist,3,Married,3388,21777,0,Yes,17,3,1,1,2,0,2,1,0,0,0,Medium,Early Career (0-5),30-39,Newbie (0-2),Recent Promotion (0-1),1
59,No,Travel_Frequently,1225,Sales,1,1,Life Sciences,1,Female,57,2,2,Sales Executive,3,Single,5473,24668,7,No,11,3,4,0,20,2,2,4,3,1,3,High,Experienced (11-20),50+,Junior (3-5),Recent Promotion (0-1),0
29,No,Travel_Rarely,1328,Research & Development,2,3,Life Sciences,3,Male,76,3,1,Research Scientist,2,Married,2703,4956,0,No,23,4,4,1,6,3,3,5,4,0,4,Low,Mid Career (6-10),Under 30,Junior (3-5),Recent Promotion (0-1),0
31,No,Travel_Rarely,1082,Research & Development,1,4,Medical,3,Male,87,3,1,Research Scientist,2,Single,2501,18775,1,No,17,3,2,0,1,4,3,1,1,1,0,Low,Early Career (0-5),30-39,Newbie (0-2),Recent Promotion (0-1),0
32,No,Travel_Rarely,548,Research & Development,1,3,Life Sciences,2,Male,66,3,2,Research Scientist,2,Married,6220,7346,1,No,17,3,2,2,10,3,3,10,4,0,9,High,Mid Career (6-10),30-39,Mid-Level (6-10),Recent Promotion (0-1),0
36,No,Travel_Rarely,132,Research & Development,6,3,Life Sciences,2,Female,55,4,1,Laboratory Technician,4,Married,3038,22002,3,No,12,3,2,0,5,3,3,1,0,0,0,Medium,Early Career (0-5),30-39,Newbie (0-2),Recent Promotion (0-1),0
31,No,Travel_Rarely,746,Research & Development,8,4,Life Sciences,3,Female,61,3,2,Manufacturing Director,4,Single,4424,20682,1,No,23,4,4,0,11,2,3,11,7,1,8,Medium,Experienced (11-20),30-39,Senior (10+),Recent Promotion (0-1),0
35,No,Travel_Rarely,776,Sales,1,4,Marketing,3,Male,32,2,2,Sales Executive,1,Single,4312,23016,0,No,14,3,2,0,16,2,3,15,13,2,8,Medium,Experienced (11-20),30-39,Senior (10+),Mid-tenure (2-5),0
45,No,Travel_Rarely,193,Research & Development,6,4,Other,4,Male,52,3,3,Research Director,1,Married,13245,15067,4,Yes,14,3,2,0,17,3,4,0,0,0,0,Very High,Experienced (11-20),40-49,Newbie (0-2),Recent Promotion (0-1),0
37,No,Travel_Rarely,397,Research & Development,7,4,Medical,1,Male,30,3,3,Research Director,3,Single,13664,25258,4,No,13,3,1,0,16,3,4,5,2,0,2,Very High,Experienced (11-20),30-39,Junior (3-5),Recent Promotion (0-1),0
46,No,Travel_Rarely,945,Human Resources,5,2,Medical,2,Male,80,3,2,Human Resources,2,Divorced,5021,10425,8,Yes,22,4,4,1,16,2,3,4,2,0,2,High,Experienced (11-20),40-49,Junior (3-5),Recent Promotion (0-1),0
30,No,Travel_Rarely,852,Research & Development,1,1,Life Sciences,4,Male,55,2,2,Laboratory Technician,4,Married,5126,15998,1,Yes,12,3,3,2,10,1,2,10,8,3,0,High,Mid Career (6-10),30-39,Mid-Level (6-10),Mid-tenure (2-5),0
35,No,Travel_Rarely,1214,Research & Development,1,3,Medical,2,Male,30,2,1,Research Scientist,3,Single,2859,26278,1,No,18,3,1,0,6,3,3,6,4,0,4,Low,Mid Career (6-10),30-39,Mid-Level (6-10),Recent Promotion (0-1),0
55,No,Travel_Rarely,111,Sales,1,2,Life Sciences,1,Male,70,3,3,Sales Executive,4,Married,10239,18092,3,No,14,3,4,1,24,4,3,1,0,1,0,Very High,Veteran (20+),50+,Newbie (0-2),Recent Promotion (0-1),0
38,No,Non-Travel,573,Research & Development,6,3,Medical,2,Female,79,1,2,Research Scientist,4,Divorced,5329,15717,7,Yes,12,3,4,3,17,3,3,13,11,1,9,High,Experienced (11-20),30-39,Senior (10+),Recent Promotion (0-1),0
34,No,Travel_Rarely,1153,Research & Development,1,2,Medical,1,Male,94,3,2,Manufacturing Director,2,Married,4325,17736,1,No,15,3,3,0,5,2,3,5,2,1,3,Medium,Early Career (0-5),30-39,Junior (3-5),Recent Promotion (0-1),0
56,No,Travel_Rarely,1400,Research & Development,7,3,Life Sciences,4,Male,49,1,3,Manufacturing Director,4,Single,7260,21698,4,No,11,3,1,0,37,3,2,6,4,0,2,High,Veteran (20+),50+,Mid-Level (6-10),Recent Promotion (0-1),0
23,No,Travel_Rarely,541,Sales,2,1,Technical Degree,3,Male,62,3,1,Sales Representative,1,Divorced,2322,9518,3,No,13,3,3,1,3,3,3,0,0,0,0,Low,Early Career (0-5),Under 30,Newbie (0-2),Recent Promotion (0-1),0
51,No,Travel_Rarely,432,Research & Development,9,4,Life Sciences,4,Male,96,3,1,Laboratory Technician,4,Married,2075,18725,3,No,23,4,2,2,10,4,3,4,2,0,3,Low,Mid Career (6-10),50+,Junior (3-5),Recent Promotion (0-1),0
30,No,Travel_Rarely,288,Research & Development,2,3,Life Sciences,3,Male,99,2,2,Healthcare Representative,4,Married,4152,15830,1,No,19,3,1,3,11,3,3,11,10,10,8,Medium,Experienced (11-20),30-39,Senior (10+),Stagnant (6+),0
46,Yes,Travel_Rarely,669,Sales,9,2,Medical,3,Male,64,2,3,Sales Executive,4,Single,9619,13596,1,No,16,3,4,0,9,3,3,9,8,4,7,Very High,Mid Career (6-10),40-49,Mid-Level (6-10),Mid-tenure (2-5),1
40,No,Travel_Frequently,530,Research & Development,1,4,Life Sciences,3,Male,78,2,4,Healthcare Representative,2,Married,13503,14115,1,No,22,4,4,1,22,3,2,22,3,11,11,Very High,Veteran (20+),40-49,Senior (10+),Stagnant (6+),0
51,No,Travel_Rarely,632,Sales,21,4,Marketing,3,Male,71,3,2,Sales Executive,4,Single,5441,8423,0,Yes,22,4,4,0,11,2,1,10,7,1,0,High,Experienced (11-20),50+,Mid-Level (6-10),Recent Promotion (0-1),0
30,No,Travel_Rarely,1334,Sales,4,2,Medical,3,Female,63,2,2,Sales Executive,2,Divorced,5209,19760,1,Yes,12,3,2,3,11,4,2,11,8,2,7,High,Experienced (11-20),30-39,Senior (10+),Mid-tenure (2-5),0
46,No,Travel_Frequently,638,Research & Development,1,3,Medical,3,Male,40,2,3,Healthcare Representative,1,Married,10673,3142,2,Yes,13,3,3,1,21,5,2,10,9,9,5,Very High,Veteran (20+),40-49,Mid-Level (6-10),Stagnant (6+),0
32,No,Travel_Rarely,1093,Sales,6,4,Medical,2,Male,87,3,2,Sales Executive,3,Single,5010,24301,1,No,16,3,1,0,12,0,3,11,8,5,7,High,Experienced (11-20),30-39,Senior (10+),Mid-tenure (2-5),0
54,No,Travel_Rarely,1217,Research & Development,2,4,Technical Degree,1,Female,60,3,3,Research Director,3,Married,13549,24001,9,No,12,3,1,1,16,5,1,4,3,0,3,Very High,Experienced (11-20),50+,Junior (3-5),Recent Promotion (0-1),0
24,No,Travel_Rarely,1353,Sales,3,2,Other,1,Female,33,3,2,Sales Executive,3,Married,4999,17519,0,No,21,4,1,1,4,2,2,3,2,0,2,High,Early Career (0-5),Under 30,Junior (3-5),Recent Promotion (0-1),0
28,No,Non-Travel,120,Sales,4,3,Medical,2,Male,43,3,2,Sales Executive,3,Married,4221,8863,1,No,15,3,2,0,5,3,4,5,4,0,4,Medium,Early Career (0-5),Under 30,Junior (3-5),Recent Promotion (0-1),0
58,No,Travel_Rarely,682,Sales,10,4,Medical,4,Male,37,3,4,Sales Executive,3,Single,13872,24409,0,No,13,3,3,0,38,1,2,37,10,1,8,Very High,Veteran (20+),50+,Senior (10+),Recent Promotion (0-1),0
44,No,Non-Travel,489,Research & Development,23,3,Medical,2,Male,67,3,2,Laboratory Technician,2,Married,2042,25043,4,No,12,3,3,1,17,3,4,3,2,1,2,Low,Experienced (11-20),40-49,Junior (3-5),Recent Promotion (0-1),0
37,Yes,Travel_Rarely,807,Human Resources,6,4,Human Resources,3,Male,63,3,1,Human Resources,1,Divorced,2073,23648,4,Yes,22,4,4,0,7,3,3,3,2,0,2,Low,Mid Career (6-10),30-39,Junior (3-5),Recent Promotion (0-1),1
32,No,Travel_Rarely,827,Research & Development,1,1,Life Sciences,4,Male,71,3,1,Research Scientist,1,Single,2956,15178,1,No,13,3,4,0,1,2,3,1,0,0,0,Medium,Early Career (0-5),30-39,Newbie (0-2),Recent Promotion (0-1),0
