Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Salary_Band,Experience_Group,Age_Group,Tenure_Category,Promotion_Category,Attrition_Flag
30,No,Travel_Rarely,1138,Research & Development,6,3,Technical Degree,1,Female,48,2,2,Laboratory Technician,4,Married,4627,23631,0,No,12,3,1,1,10,6,3,9,2,6,7,Medium,Mid Career (6-10),30-39,Mid-Level (6-10),Stagnant (6+),0
36,No,Travel_Rarely,325,Research & Development,10,4,Technical Degree,4,Female,63,3,3,Healthcare Representative,3,Married,7094,5747,3,No,12,3,1,0,10,0,3,7,7,1,7,High,Mid Career (6-10),30-39,Mid-Level (6-10),Recent Promotion (0-1),0
46,No,Travel_Rarely,991,Human Resources,1,2,Life Sciences,4,Female,44,3,1,Human Resources,1,Single,3423,22957,6,No,12,3,3,0,10,3,4,7,6,5,7,Medium,Mid Career (6-10),40-49,Mid-Level (6-10),Mid-tenure (2-5),0
28,No,Non-Travel,1476,Research & Development,1,3,Life Sciences,3,Female,55,1,2,Laboratory Technician,4,Married,6674,16392,0,No,11,3,1,3,10,6,3,9,8,7,5,High,Mid Career (6-10),Under 30,Mid-Level (6-10),Stagnant (6+),0
50,No,Travel_Rarely,1322,Research & Development,28,3,Life Sciences,4,Female,43,3,4,Research Director,1,Married,16880,22422,4,Yes,11,3,2,0,25,2,3,3,2,1,2,Very High,Veteran (20+),50+,Junior (3-5),Recent Promotion (0-1),0
40,Yes,Travel_Rarely,299,Sales,25,4,Marketing,4,Male,57,2,3,Sales Executive,2,Single,9094,17235,2,Yes,12,3,3,0,9,2,3,5,4,1,0,Very High,Mid Career (6-10),40-49,Junior (3-5),Recent Promotion (0-1),1
52,Yes,Travel_Rarely,1030,Sales,5,3,Life Sciences,2,Male,64,3,3,Sales Executive,2,Single,8446,21534,9,Yes,19,3,3,0,10,2,2,8,7,7,7,Very High,Mid Career (6-10),50+,Mid-Level (6-10),Stagnant (6+),1
30,No,Travel_Rarely,634,Research & Development,17,4,Medical,2,Female,95,3,3,Manager,1,Married,11916,25927,1,Yes,23,4,4,2,9,2,3,9,1,0,8,Very High,Mid Career (6-10),30-39,Mid-Level (6-10),Recent Promotion (0-1),0
39,No,Travel_Rarely,524,Research & Development,18,2,Life Sciences,1,Male,32,3,2,Manufacturing Director,3,Single,4534,13352,0,No,11,3,1,0,9,6,3,8,7,1,7,Medium,Mid Career (6-10),30-39,Mid-Level (6-10),Recent Promotion (0-1),0
31,No,Non-Travel,587,Sales,2,4,Life Sciences,4,Female,57,3,3,Sales Executive,3,Divorced,9852,8935,1,Yes,19,3,1,1,10,5,2,10,8,9,6,Very High,Mid Career (6-10),30-39,Mid-Level (6-10),Stagnant (6+),0
41,No,Non-Travel,256,Sales,10,2,Medical,3,Male,40,1,2,Sales Executive,2,Single,6151,22074,1,No,13,3,1,0,19,4,3,19,2,11,9,High,Experienced (11-20),40-49,Senior (10+),Stagnant (6+),0
31,Yes,Travel_Frequently,1060,Sales,1,3,Life Sciences,4,Female,54,3,1,Sales Representative,2,Single,2302,8319,1,Yes,11,3,1,0,3,2,4,3,2,2,2,Low,Early Career (0-5),30-39,Junior (3-5),Mid-tenure (2-5),1
44,Yes,Travel_Rarely,935,Research & Development,3,3,Life Sciences,1,Male,89,3,1,Laboratory Technician,1,Married,2362,14669,4,No,12,3,3,0,10,4,4,3,2,1,2,Low,Mid Career (6-10),40-49,Junior (3-5),Recent Promotion (0-1),1
42,No,Non-Travel,495,Research & Development,2,1,Life Sciences,3,Male,37,3,4,Manager,3,Married,17861,26582,0,Yes,13,3,4,0,21,3,2,20,8,2,10,Very High,Veteran (20+),40-49,Senior (10+),Mid-tenure (2-5),0
55,No,Travel_Rarely,282,Research & Development,2,2,Medical,4,Female,58,1,5,Manager,3,Married,19187,6992,4,No,14,3,4,1,23,5,3,19,9,9,11,Very High,Veteran (20+),50+,Senior (10+),Stagnant (6+),0
56,No,Travel_Rarely,206,Human Resources,8,4,Life Sciences,4,Male,99,3,5,Manager,2,Single,19717,4022,6,No,14,3,1,0,36,4,3,7,3,7,7,Very High,Veteran (20+),50+,Mid-Level (6-10),Stagnant (6+),0
40,No,Non-Travel,458,Research & Development,16,2,Life Sciences,3,Male,74,3,1,Research Scientist,3,Divorced,3544,8532,9,No,16,3,2,1,6,0,3,4,2,0,0,Medium,Mid Career (6-10),40-49,Junior (3-5),Recent Promotion (0-1),0
34,No,Travel_Rarely,943,Research & Development,9,3,Life Sciences,4,Male,86,3,3,Healthcare Representative,4,Divorced,8500,5494,0,No,11,3,4,1,10,0,2,9,7,1,6,Very High,Mid Career (6-10),30-39,Mid-Level (6-10),Recent Promotion (0-1),0
40,No,Travel_Rarely,523,Research & Development,2,3,Life Sciences,3,Male,98,3,2,Research Scientist,4,Single,4661,22455,1,No,13,3,3,0,9,4,3,9,8,8,8,Medium,Mid Career (6-10),40-49,Mid-Level (6-10),Stagnant (6+),0
41,No,Travel_Frequently,1018,Sales,1,3,Marketing,3,Female,66,3,2,Sales Executive,1,Divorced,4103,4297,0,No,17,3,4,1,10,2,3,9,3,1,7,Medium,Mid Career (6-10),40-49,Mid-Level (6-10),Recent Promotion (0-1),0
35,No,Travel_Frequently,482,Research & Development,4,4,Life Sciences,3,Male,87,3,2,Research Scientist,3,Single,4249,2690,1,Yes,11,3,2,0,9,3,3,9,6,1,1,Medium,Mid Career (6-10),30-39,Mid-Level (6-10),Recent Promotion (0-1),0
51,No,Travel_Rarely,770,Human Resources,5,3,Life Sciences,3,Male,84,3,4,Manager,2,Divorced,14026,17588,1,Yes,11,3,2,1,33,2,3,33,9,0,10,Very High,Veteran (20+),50+,Senior (10+),Recent Promotion (0-1),0
38,No,Travel_Rarely,1009,Sales,2,2,Life Sciences,2,Female,31,3,2,Sales Executive,1,Divorced,6893,19461,3,No,15,3,4,1,11,3,3,7,7,1,7,High,Experienced (11-20),30-39,Mid-Level (6-10),Recent Promotion (0-1),0
34,No,Travel_Rarely,507,Sales,15,2,Medical,3,Female,66,3,2,Sales Executive,1,Single,6125,23553,1,No,12,3,4,0,10,6,4,10,8,9,6,High,Mid Career (6-10),30-39,Mid-Level (6-10),Stagnant (6+),0
25,No,Travel_Rarely,882,Research & Development,19,1,Medical,4,Male,67,3,1,Laboratory Technician,4,Married,3669,9075,3,No,11,3,3,3,7,6,2,3,2,1,2,Medium,Mid Career (6-10),Under 30,Junior (3-5),Recent Promotion (0-1),0
58,Yes,Travel_Rarely,601,Research & Development,7,4,Medical,3,Female,53,2,3,Manufacturing Director,1,Married,10008,12023,7,Yes,14,3,4,0,31,0,2,10,9,5,9,Very High,Veteran (20+),50+,Mid-Level (6-10),Mid-tenure (2-5),1
40,No,Travel_Rarely,329,Research & Development,1,4,Life Sciences,2,Male,88,3,1,Laboratory Technician,2,Married,2387,6762,3,No,22,4,3,1,7,3,3,4,2,0,3,Low,Mid Career (6-10),40-49,Junior (3-5),Recent Promotion (0-1),0
36,No,Travel_Frequently,607,Sales,7,3,Marketing,1,Female,83,4,2,Sales Executive,1,Married,4639,2261,2,No,16,3,4,1,17,2,2,15,7,6,13,Medium,Experienced (11-20),30-39,Senior (10+),Stagnant (6+),0
48,No,Travel_Rarely,855,Research & Development,4,3,Life Sciences,4,Male,54,3,3,Manufacturing Director,4,Single,7898,18706,1,No,11,3,3,0,11,2,3,10,9,0,8,High,Experienced (11-20),40-49,Mid-Level (6-10),Recent Promotion (0-1),0
27,No,Travel_Rarely,1291,Sales,11,3,Medical,3,Female,98,4,1,Sales Representative,4,Married,2534,6527,8,No,14,3,2,1,5,4,3,1,0,0,0,Low,Early Career (0-5),Under 30,Newbie (0-2),Recent Promotion (0-1),0
51,No,Travel_Rarely,1405,Research & Development,11,2,Technical Degree,4,Female,82,2,4,Manufacturing Director,2,Single,13142,24439,3,No,16,3,2,0,29,1,2,5,2,0,3,Very High,Veteran (20+),50+,Junior (3-5),Recent Promotion (0-1),0
18,No,Non-Travel,1124,Research & Development,1,3,Life Sciences,4,Female,97,3,1,Laboratory Technician,4,Single,1611,19305,1,No,15,3,3,0,0,5,4,0,0,0,0,Low,Early Career (0-5),Under 30,Newbie (0-2),Recent Promotion (0-1),0
35,No,Travel_Rarely,817,Research & Development,1,3,Medical,4,Female,60,2,2,Laboratory Technician,4,Married,5363,10846,0,No,12,3,2,1,10,0,3,9,7,0,0,High,Mid Career (6-10),30-39,Mid-Level (6-10),Recent Promotion (0-1),0
27,No,Travel_Frequently,793,Sales,2,1,Life Sciences,4,Male,43,1,2,Sales Executive,4,Single,5071,20392,3,No,20,4,2,0,8,3,3,6,2,0,0,High,Mid Career (6-10),Under 30,Mid-Level (6-10),Recent Promotion (0-1),0
55,Yes,Travel_Rarely,267,Sales,13,4,Marketing,1,Male,85,4,4,Sales Executive,3,Single,13695,9277,6,Yes,17,3,3,0,24,2,2,19,7,3,8,Very High,Veteran (20+),50+,Senior (10+),Mid-tenure (2-5),1
56,No,Travel_Rarely,1369,Research & Development,23,3,Life Sciences,4,Male,68,3,4,Manufacturing Director,2,Married,13402,18235,4,Yes,12,3,1,1,33,0,3,19,16,15,9,Very High,Veteran (20+),50+,Senior (10+),Stagnant (6+),0
34,No,Non-Travel,999,Research & Development,26,1,Technical Degree,1,Female,92,2,1,Research Scientist,3,Divorced,2029,15891,1,No,20,4,3,3,5,2,3,5,4,0,0,Low,Early Career (0-5),30-39,Junior (3-5),Recent Promotion (0-1),0
40,No,Travel_Rarely,1202,Research & Development,2,1,Medical,2,Female,89,4,2,Healthcare Representative,3,Divorced,6377,13888,5,No,20,4,2,3,15,0,3,12,11,11,8,High,Experienced (11-20),40-49,Senior (10+),Stagnant (6+),0
34,No,Travel_Rarely,285,Research & Development,29,3,Medical,2,Male,86,3,2,Laboratory Technician,3,Married,5429,17491,4,No,13,3,1,2,10,1,3,8,7,7,7,High,Mid Career (6-10),30-39,Mid-Level (6-10),Stagnant (6+),0
31,Yes,Travel_Frequently,703,Sales,2,3,Life Sciences,3,Female,90,2,1,Sales Representative,4,Single,2785,11882,7,No,14,3,3,0,3,3,4,1,0,0,0,Low,Early Career (0-5),30-39,Newbie (0-2),Recent Promotion (0-1),1
35,Yes,Travel_Frequently,662,Sales,18,4,Marketing,4,Female,67,3,2,Sales Executive,3,Married,4614,23288,0,Yes,18,3,3,1,5,0,2,4,2,3,2,Medium,Early Career (0-5),30-39,Junior (3-5),Mid-tenure (2-5),1
38,No,Travel_Frequently,693,Research & Development,7,3,Life Sciences,4,Male,57,4,1,Research Scientist,3,Divorced,2610,15748,1,No,11,3,4,3,4,2,3,4,2,0,3,Low,Early Career (0-5),30-39,Junior (3-5),Recent Promotion (0-1),0
34,No,Travel_Rarely,404,Research & Development,2,4,Technical Degree,3,Female,98,3,2,Healthcare Representative,4,Single,6687,6163,1,No,11,3,4,0,14,2,4,14,11,4,11,High,Experienced (11-20),30-39,Senior (10+),Mid-tenure (2-5),0
28,No,Travel_Rarely,736,Sales,26,3,Life Sciences,3,Male,48,2,2,Sales Executive,1,Married,4724,24232,1,No,11,3,3,1,5,0,3,5,3,0,4,Medium,Early Career (0-5),Under 30,Junior (3-5),Recent Promotion (0-1),0
31,Yes,Travel_Rarely,330,Research & Development,22,4,Medical,4,Male,98,3,2,Manufacturing Director,3,Married,6179,21057,1,Yes,15,3,4,2,10,3,2,10,2,6,7,High,Mid Career (6-10),30-39,Mid-Level (6-10),Stagnant (6+),1
39,No,Travel_Rarely,1498,Sales,21,4,Life Sciences,1,Male,44,2,2,Sales Executive,4,Married,6120,3567,3,Yes,12,3,4,2,8,2,4,5,4,1,4,High,Mid Career (6-10),30-39,Junior (3-5),Recent Promotion (0-1),0
51,No,Travel_Frequently,541,Sales,2,3,Marketing,2,Male,52,3,3,Sales Executive,2,Married,10596,15395,2,No,11,3,2,0,14,5,3,4,2,3,2,Very High,Experienced (11-20),50+,Junior (3-5),Mid-tenure (2-5),0
41,No,Travel_Frequently,1200,Research & Development,22,3,Life Sciences,4,Female,75,3,2,Research Scientist,4,Divorced,5467,13953,3,Yes,14,3,1,2,12,4,2,6,2,3,3,High,Experienced (11-20),40-49,Mid-Level (6-10),Mid-tenure (2-5),0
37,No,Travel_Rarely,1439,Research & Development,4,1,Life Sciences,3,Male,54,3,1,Research Scientist,3,Married,2996,5182,7,Yes,15,3,4,0,8,2,3,6,4,1,3,Medium,Mid Career (6-10),30-39,Mid-Level (6-10),Recent Promotion (0-1),0
33,No,Travel_Frequently,1111,Sales,5,1,Life Sciences,2,Male,61,3,2,Sales Executive,4,Married,9998,19293,6,No,13,3,1,0,8,2,4,5,4,1,2,Very High,Mid Career (6-10),30-39,Junior (3-5),Recent Promotion (0-1),0
32,No,Travel_Rarely,499,Sales,2,1,Marketing,3,Male,36,3,2,Sales Executive,2,Married,4078,20497,0,Yes,13,3,1,3,4,3,2,3,2,1,2,Medium,Early Career (0-5),30-39,Junior (3-5),Recent Promotion (0-1),0
39,No,Non-Travel,1485,Research & Development,25,2,Life Sciences,3,Male,71,3,3,Healthcare Representative,3,Married,10920,3449,3,No,21,4,2,1,13,2,3,6,4,0,5,Very High,Experienced (11-20),30-39,Mid-Level (6-10),Recent Promotion (0-1),0
25,No,Travel_Rarely,1372,Sales,18,1,Life Sciences,1,Male,93,4,2,Sales Executive,3,Married,6232,12477,2,No,11,3,2,0,6,3,2,3,2,1,2,High,Mid Career (6-10),Under 30,Junior (3-5),Recent Promotion (0-1),0
52,No,Travel_Frequently,322,Research & Development,28,2,Medical,4,Female,59,4,4,Manufacturing Director,3,Married,13247,9731,2,Yes,11,3,2,1,24,3,2,5,3,0,2,Very High,Veteran (20+),50+,Junior (3-5),Recent Promotion (0-1),0
43,No,Travel_Rarely,930,Research & Development,6,3,Medical,1,Female,73,2,2,Research Scientist,3,Single,4081,20003,1,Yes,14,3,1,0,20,3,1,20,7,1,8,Medium,Experienced (11-20),40-49,Senior (10+),Recent Promotion (0-1),0
27,No,Travel_Rarely,205,Sales,10,3,Marketing,4,Female,98,2,2,Sales Executive,4,Married,5769,7100,1,Yes,11,3,4,0,6,3,3,6,2,4,4,High,Mid Career (6-10),Under 30,Mid-Level (6-10),Mid-tenure (2-5),0
27,Yes,Travel_Rarely,135,Research & Development,17,4,Life Sciences,4,Female,51,3,1,Research Scientist,3,Single,2394,25681,1,Yes,13,3,4,0,8,2,3,8,2,7,7,Low,Mid Career (6-10),Under 30,Mid-Level (6-10),Stagnant (6+),1
26,No,Travel_Rarely,683,Research & Development,2,1,Medical,1,Male,36,2,1,Research Scientist,4,Single,3904,4050,0,No,12,3,4,0,5,2,3,4,3,1,1,Medium,Early Career (0-5),Under 30,Junior (3-5),Recent Promotion (0-1),0
42,No,Travel_Rarely,1147,Human Resources,10,3,Human Resources,3,Female,31,3,4,Manager,1,Married,16799,16616,0,No,14,3,3,1,21,5,3,20,7,0,9,Very High,Veteran (20+),40-49,Senior (10+),Recent Promotion (0-1),0
52,No,Travel_Rarely,258,Research & Development,8,4,Other,3,Female,54,3,1,Laboratory Technician,1,Married,2950,17363,9,No,13,3,3,0,12,2,1,5,4,0,4,Medium,Experienced (11-20),50+,Junior (3-5),Recent Promotion (0-1),0
37,No,Travel_Rarely,1462,Research & Development,11,3,Medical,1,Female,94,3,1,Laboratory Technician,3,Single,3629,19106,4,No,18,3,1,0,8,6,3,3,2,0,2,Medium,Mid Career (6-10),30-39,Junior (3-5),Recent Promotion (0-1),0
35,No,Travel_Frequently,200,Research & Development,18,2,Life Sciences,3,Male,60,3,3,Manufacturing Director,4,Single,9362,19944,2,No,11,3,3,0,10,2,3,2,2,2,2,Very High,Mid Career (6-10),30-39,Newbie (0-2),Mid-tenure (2-5),0
25,No,Travel_Rarely,949,Research & Development,1,3,Technical Degree,1,Male,81,3,1,Laboratory Technician,4,Married,3229,4910,4,No,11,3,2,1,7,2,2,3,2,0,2,Medium,Mid Career (6-10),Under 30,Junior (3-5),Recent Promotion (0-1),0
26,No,Travel_Rarely,652,Research & Development,7,3,Other,3,Male,100,4,1,Laboratory Technician,1,Single,3578,23577,0,No,12,3,4,0,8,2,3,7,7,0,7,Medium,Mid Career (6-10),Under 30,Mid-Level (6-10),Recent Promotion (0-1),0
29,No,Travel_Rarely,332,Human Resources,17,3,Other,2,Male,51,2,3,Human Resources,1,Single,7988,9769,1,No,13,3,1,0,10,3,2,10,9,0,9,High,Mid Career (6-10),Under 30,Mid-Level (6-10),Recent Promotion (0-1),0
49,Yes,Travel_Frequently,1475,Research & Development,28,2,Life Sciences,1,Male,97,2,2,Laboratory Technician,1,Single,4284,22710,3,No,20,4,1,0,20,2,3,4,3,1,3,Medium,Experienced (11-20),40-49,Junior (3-5),Recent Promotion (0-1),1
29,Yes,Travel_Frequently,337,Research & Development,14,1,Other,3,Female,84,3,3,Healthcare Representative,4,Single,7553,22930,0,Yes,12,3,1,0,9,1,3,8,7,7,7,High,Mid Career (6-10),Under 30,Mid-Level (6-10),Stagnant (6+),1
54,No,Travel_Rarely,971,Research & Development,1,3,Medical,4,Female,54,3,4,Research Director,4,Single,17328,5652,6,No,19,3,4,0,29,3,2,20,7,12,7,Very High,Veteran (20+),50+,Senior (10+),Stagnant (6+),0
58,No,Travel_Rarely,1055,Research & Development,1,3,Medical,4,Female,76,3,5,Research Director,1,Married,19701,22456,3,Yes,21,4,3,1,32,3,3,9,8,1,5,Very High,Veteran (20+),50+,Mid-Level (6-10),Recent Promotion (0-1),0
55,No,Travel_Rarely,1136,Research & Development,1,4,Medical,2,Male,81,4,4,Research Director,4,Divorced,14732,12414,2,No,13,3,4,2,31,4,4,7,7,0,0,Very High,Veteran (20+),50+,Mid-Level (6-10),Recent Promotion (0-1),0
36,No,Travel_Rarely,1174,Sales,3,4,Marketing,1,Female,99,3,2,Sales Executive,2,Single,9278,20763,3,Yes,16,3,4,0,15,3,3,5,4,0,1,Very High,Experienced (11-20),30-39,Junior (3-5),Recent Promotion (0-1),0
31,Yes,Travel_Frequently,667,Sales,1,4,Life Sciences,2,Female,50,1,1,Sales Representative,3,Single,1359,16154,1,No,12,3,2,0,1,3,3,1,0,0,0,Low,Early Career (0-5),30-39,Newbie (0-2),Recent Promotion (0-1),1
30,No,Travel_Rarely,855,Sales,7,4,Marketing,4,Female,73,3,2,Sales Executive,1,Divorced,4779,12761,7,No,14,3,2,2,8,3,3,3,2,0,2,Medium,Mid Career (6-10),30-39,Junior (3-5),Recent Promotion (0-1),0
31,No,Travel_Rarely,182,Research & Development,8,5,Life Sciences,1,Female,93,3,4,Research Director,2,Single,16422,8847,3,No,11,3,3,0,9,3,4,3,2,1,0,Very High,Mid Career (6-10),30-39,Junior (3-5),Recent Promotion (0-1),0
34,No,Travel_Frequently,560,Research & Development,1,4,Other,4,Male,91,3,1,Research Scientist,1,Divorced,2996,20284,5,No,14,3,3,2,10,2,3,4,3,1,3,Medium,Mid Career (6-10),30-39,Junior (3-5),Recent Promotion (0-1),0
31,Yes,Travel_Rarely,202,Research & Development,8,3,Life Sciences,1,Female,34,2,1,Research Scientist,2,Single,1261,22262,1,No,12,3,3,0,1,3,4,1,0,0,0,Low,Early Career (0-5),30-39,Newbie (0-2),Recent Promotion (0-1),1
27,No,Travel_Rarely,1377,Research & Development,11,1,Life Sciences,2,Male,91,3,1,Laboratory Technician,1,Married,2099,7679,0,No,14,3,2,0,6,3,4,5,0,1,4,Low,Mid Career (6-10),Under 30,Junior (3-5),Recent Promotion (0-1),0
36,No,Travel_Rarely,172,Research & Development,4,4,Life Sciences,1,Male,37,2,2,Laboratory Technician,4,Single,5810,22604,1,No,16,3,3,0,10,2,2,10,4,1,8,High,Mid Career (6-10),30-39,Mid-Level (6-10),Recent Promotion (0-1),0
36,No,Travel_Rarely,329,Sales,16,4,Marketing,3,Female,98,2,2,Sales Executive,1,Married,5647,13494,4,No,13,3,1,2,11,3,2,3,2,0,2,High,Experienced (11-20),30-39,Junior (3-5),Recent Promotion (0-1),0
47,No,Travel_Rarely,465,Research & Development,1,3,Technical Degree,1,Male,74,3,1,Research Scientist,4,Married,3420,10205,7,No,12,3,3,1,17,2,2,6,5,1,2,Medium,Experienced (11-20),40-49,Mid-Level (6-10),Recent Promotion (0-1),0
25,Yes,Travel_Rarely,383,Sales,9,2,Life Sciences,1,Male,68,2,1,Sales Representative,1,Married,4400,15182,3,No,12,3,1,0,6,2,3,3,2,2,2,Medium,Mid Career (6-10),Under 30,Junior (3-5),Mid-tenure (2-5),1
37,No,Non-Travel,1413,Research & Development,5,2,Technical Degree,3,Male,84,4,1,Laboratory Technician,3,Single,3500,25470,0,No,14,3,1,0,7,2,1,6,5,1,3,Medium,Mid Career (6-10),30-39,Mid-Level (6-10),Recent Promotion (0-1),0
56,No,Travel_Rarely,1255,Research & Development,1,2,Life Sciences,1,Female,90,3,1,Research Scientist,1,Married,2066,10494,2,No,22,4,4,1,5,3,4,3,2,1,0,Low,Early Career (0-5),50+,Junior (3-5),Recent Promotion (0-1),0
47,No,Travel_Rarely,359,Research & Development,2,4,Medical,1,Female,82,3,4,Research Director,3,Married,17169,26703,3,No,19,3,2,2,26,2,4,20,17,5,6,Very High,Veteran (20+),40-49,Senior (10+),Mid-tenure (2-5),0
24,No,Travel_Rarely,1476,Sales,4,1,Medical,4,Female,42,3,2,Sales Executive,3,Married,4162,15211,1,Yes,12,3,3,2,5,3,3,5,4,0,3,Medium,Early Career (0-5),Under 30,Junior (3-5),Recent Promotion (0-1),0
32,No,Travel_Rarely,601,Sales,7,5,Marketing,4,Male,97,3,2,Sales Executive,4,Married,9204,23343,4,No,12,3,3,1,7,3,2,4,3,0,3,Very High,Mid Career (6-10),30-39,Junior (3-5),Recent Promotion (0-1),0
34,No,Travel_Rarely,401,Research & Development,1,3,Life Sciences,4,Female,86,2,1,Laboratory Technician,2,Married,3294,3708,5,No,17,3,1,1,7,2,2,5,4,0,2,Medium,Mid Career (6-10),30-39,Junior (3-5),Recent Promotion (0-1),0
41,No,Travel_Rarely,1283,Research & Development,5,5,Medical,2,Male,90,4,1,Research Scientist,3,Married,2127,5561,2,Yes,12,3,1,0,7,5,2,4,2,0,3,Low,Mid Career (6-10),40-49,Junior (3-5),Recent Promotion (0-1),0
40,No,Non-Travel,663,Research & Development,9,4,Other,3,Male,81,3,2,Laboratory Technician,3,Divorced,3975,23099,3,No,11,3,3,2,11,2,4,8,7,0,7,Medium,Experienced (11-20),40-49,Mid-Level (6-10),Recent Promotion (0-1),0
31,No,Travel_Rarely,326,Sales,8,2,Life Sciences,1,Male,31,3,3,Sales Executive,4,Divorced,10793,8386,1,No,18,3,1,1,13,5,3,13,7,9,9,Very High,Experienced (11-20),30-39,Senior (10+),Stagnant (6+),0
46,Yes,Travel_Rarely,377,Sales,9,3,Marketing,1,Male,52,3,3,Sales Executive,4,Divorced,10096,15986,4,No,11,3,1,1,28,1,4,7,7,4,3,Very High,Veteran (20+),40-49,Mid-Level (6-10),Mid-tenure (2-5),1
39,Yes,Non-Travel,592,Research & Development,2,3,Life Sciences,1,Female,54,2,1,Laboratory Technician,1,Single,3646,17181,2,Yes,23,4,2,0,11,2,4,1,0,0,0,Medium,Experienced (11-20),30-39,Newbie (0-2),Recent Promotion (0-1),1
31,Yes,Travel_Frequently,1445,Research & Development,1,5,Life Sciences,3,Female,100,4,3,Manufacturing Director,2,Single,7446,8931,1,No,11,3,1,0,10,2,3,10,8,4,7,High,Mid Career (6-10),30-39,Mid-Level (6-10),Mid-tenure (2-5),1
45,No,Travel_Rarely,1038,Research & Development,20,3,Medical,2,Male,95,1,3,Healthcare Representative,1,Divorced,10851,19863,2,Yes,18,3,2,1,24,2,3,7,7,0,7,Very High,Veteran (20+),40-49,Mid-Level (6-10),Recent Promotion (0-1),0
31,No,Travel_Rarely,1398,Human Resources,8,2,Medical,4,Female,96,4,1,Human Resources,2,Single,2109,24609,9,No,18,3,4,0,8,3,3,3,2,0,2,Low,Mid Career (6-10),30-39,Junior (3-5),Recent Promotion (0-1),0
31,Yes,Travel_Frequently,523,Research & Development,2,3,Life Sciences,2,Male,94,3,1,Laboratory Technician,4,Married,3722,21081,6,Yes,13,3,3,1,7,2,1,2,2,2,2,Medium,Mid Career (6-10),30-39,Newbie (0-2),Mid-tenure (2-5),1
45,No,Travel_Rarely,1448,Research & Development,29,3,Technical Degree,2,Male,55,3,3,Manufacturing Director,4,Married,9380,14720,4,Yes,18,3,4,2,10,4,4,3,1,1,2,Very High,Mid Career (6-10),40-49,Junior (3-5),Recent Promotion (0-1),0
48,No,Travel_Rarely,1221,Sales,7,3,Marketing,3,Male,96,3,2,Sales Executive,1,Divorced,5486,24795,4,No,11,3,1,3,15,3,3,2,2,2,2,High,Experienced (11-20),40-49,Newbie (0-2),Mid-tenure (2-5),0
34,Yes,Travel_Rarely,1107,Human Resources,9,4,Technical Degree,1,Female,52,3,1,Human Resources,3,Married,2742,3072,1,No,15,3,4,0,2,0,3,2,2,2,2,Low,Early Career (0-5),30-39,Newbie (0-2),Mid-tenure (2-5),1
40,No,Non-Travel,218,Research & Development,8,1,Medical,4,Male,55,2,3,Research Director,2,Divorced,13757,25178,2,No,11,3,3,1,16,5,3,9,8,4,8,Very High,Experienced (11-20),40-49,Mid-Level (6-10),Mid-tenure (2-5),0
28,No,Travel_Rarely,866,Sales,5,3,Medical,4,Male,84,3,2,Sales Executive,1,Single,8463,23490,0,No,18,3,4,0,6,4,3,5,4,1,3,Very High,Mid Career (6-10),Under 30,Junior (3-5),Recent Promotion (0-1),0
44,No,Non-Travel,981,Research & Development,5,3,Life Sciences,3,Male,90,2,1,Laboratory Technician,3,Single,3162,7973,3,No,14,3,4,0,7,5,3,5,2,0,3,Medium,Mid Career (6-10),40-49,Junior (3-5),Recent Promotion (0-1),0
53,No,Travel_Rarely,447,Research & Development,2,3,Medical,4,Male,39,4,4,Research Director,2,Single,16598,19764,4,No,12,3,2,0,35,2,2,9,8,8,8,Very High,Veteran (20+),50+,Mid-Level (6-10),Stagnant (6+),0
49,No,Travel_Rarely,1495,Research & Development,5,4,Technical Degree,1,Male,96,3,2,Healthcare Representative,3,Married,6651,21534,2,No,14,3,2,1,20,0,2,3,2,1,2,High,Experienced (11-20),40-49,Junior (3-5),Recent Promotion (0-1),0
40,No,Travel_Rarely,896,Research & Development,2,3,Medical,3,Male,68,3,1,Research Scientist,3,Divorced,2345,8045,2,No,14,3,3,1,8,3,4,3,1,1,2,Low,Mid Career (6-10),40-49,Junior (3-5),Recent Promotion (0-1),0
